nombre;Peyre
Comuna;San Pedro de la Paz
1;3
2;5
3;1
4;5
5;5
6;3
7;3
8;1
9;4
10;5
11;5
12;4
13;3
14;1
15;5
16;2
17;3
18;5
19;5
20;5
21;5
22;5
23;3
24;4
25;4
26;1
27;1
28;5
29;3
30;4
31;1
32;1
33;1
34;5
35;5
36;1
37;1
38;3
39;
40;
41;
42;
43;
44;
45;
